molecule_chembl_id,canonical_smiles,bao_format,assay_type,activity_comment,pchembl_value,potential_duplicate
CHEMBL4227524,O/N=C(\Cc1ccccc1)c1nc2ccc(Cl)cc2o1,BAO_0000219,B,,4.66,0
CHEMBL4227459,Cc1ccc2nc(/C(Cc3ccccc3)=N/O)oc2c1,BAO_0000219,B,,4.8,0
CHEMBL4229108,COc1ccccc1C(=O)O/N=C(\C)c1nc2ccccc2o1,BAO_0000219,B,,4.4,0
CHEMBL129795,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,BAO_0000219,B,,5.81,0
CHEMBL3183703,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,BAO_0000357,B,,8.09,0
CHEMBL4538032,C=C(Cc1ccccc1Cl)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,BAO_0000357,B,,4.13,0
CHEMBL4539790,CC(=O)C1=C(C(Cl)(Cl)Cl)N[B-](c2ccccc2)(c2ccccc2)[O+]=C1N,BAO_0000019,B,,7.13,0
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,BAO_0000019,B,,5.0,0
CHEMBL4443648,CCn1c(-c2ccccc2)nc2cc(C)ccc21,BAO_0000019,B,,5.0,0
CHEMBL4647321,Cc1ccc(S(=O)(=NC#N)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1,BAO_0000219,B,,8.17,0
CHEMBL4640644,Cc1ccc(S(=O)(=O)N/C(=N\C#N)Nc2c3c(cc4c2CCC4)CCC3)cc1,BAO_0000219,B,,,0
CHEMBL4634472,O=C(Nc1c2c(cc3c1CCC3)CCC2)NP(=O)(O)c1ccccc1,BAO_0000219,B,,,0
CHEMBL4633580,Cc1ccc(S(=O)(=O)NC(=O)C(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1,BAO_0000219,B,,,0
CHEMBL4633769,Cc1ccc(S(=O)(=O)NS(=O)(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1,BAO_0000219,B,,,0
CHEMBL4640804,Cc1ccc(S(=O)(=O)NC(=O)Cc2c3c(cc4c2CCC4)CCC3)cc1,BAO_0000219,B,,,0
CHEMBL4643011,Cc1ccc(S(=O)(=O)NC(=O)C(O)c2c3c(cc4c2CCC4)CCC3)cc1,BAO_0000219,B,,,0
CHEMBL4643208,Cc1ccc(S(=O)(=O)NC(=O)C(=O)c2c3c(cc4c2CCC4)CCC3)cc1,BAO_0000219,B,,,0
CHEMBL4649621,Cc1ccc(S(=O)(=O)Nc2c(Nc3c4c(cc5c3CCC5)CCC4)c(=O)c2=O)cc1,BAO_0000219,B,,,0
CHEMBL4641660,O=C(Nc1c2c(cc3c1CCC3)CCC2)NC1(c2ccccc2)COC1,BAO_0000219,B,,,0
CHEMBL4649881,O=C(Nc1c2c(cc3c1CCC3)CCC2)NC(c1ccccc1)C(F)(F)F,BAO_0000219,B,,,0
CHEMBL4636808,N#CC(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccccc1,BAO_0000219,B,,,0
CHEMBL4642066,Cc1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1,BAO_0000219,B,,7.82,0
CHEMBL4640151,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccccc1,BAO_0000219,B,,7.46,0
CHEMBL3183703,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,BAO_0000219,B,,8.1,1
CHEMBL4647621,N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccccc1,BAO_0000219,B,,7.68,0
CHEMBL4634682,CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccc(C)cc1,BAO_0000219,B,,,0
CHEMBL4644865,Cc1ccc(S(=O)(=NCC(F)(F)F)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1,BAO_0000219,B,,,0
CHEMBL4649429,CON=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccc(C)cc1,BAO_0000219,B,,,0
CHEMBL4646037,Cc1ccc(S(=O)(=Nc2ccc(F)cc2)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1,BAO_0000219,B,,,0
CHEMBL4643062,Cc1ccc(S(=O)(=Nc2ccn[nH]2)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1,BAO_0000219,B,,,0
CHEMBL4637610,Cc1ccc(S(=O)(=NC(N)=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1,BAO_0000219,B,,,0
